Item ID,Description,Start date,End date,Series ID,Series,Source
794266,INJUNE State School,1970-09-14,1970-09-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794266
794267,INJUNE State School,1971-06-04,1971-07-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794267
794268,INJUNE State School,1973-09-18,1973-09-19,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794268
794269,INJUNE State School Secondary Department,1970-06-30,1970-01-07,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794269
794270,INKERMAN State School,1955-04-14,1974-07-23,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794270
794271,INKERMAN State School,1970-09-07,1970-09-07,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794271
794272,INKERMAN State School,1971-11-06,1971-11-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794272
794273,INKERMAN State School,1972-07-14,1972-07-14,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794273
794274,INKERMAN State School,1973-06-13,1973-06-13,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794274
794275,INNISFAIL State School,1970-07-30,1970-07-31,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794275
794276,INNISFAIL State School,1970-03-08,1970-06-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794276
794277,INNISFAIL State School,1971-10-15,1971-10-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794277
794278,INNISFAIL State School,1971-10-15,1971-10-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794278
794279,INNISFAIL State School,1972-07-17,1972-07-21,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794279
794280,INNISFAIL State School,1973-08-03,1973-12-03,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794280
794281,INNISFAIL EAST State School,1970-09-06,1970-12-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794281
794282,INNISFAIL EAST State School,1973-11-14,1973-11-22,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794282
794283,INNISFAIL State High School,1970-01-04,1970-03-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794283
794284,INNISFAIL OPPORTUNITY CLASSES State School,1973-07-24,1973-07-24,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794284
794285,IPSWICH BOYS CENTRAL State School,1970-03-20,1970-08-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794285
794286,IPSWICH CENTRAL BOYS State School,1971-03-19,1971-03-23,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794286
794287,IPSWICH CENTRAL BOYS State School,1973-03-14,1973-03-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794287
