School Name, No,Type,Locality,Year,Page,QSA Ref,Item ID,Series ID,Notes,Archivist Notes,Index Name,Description,Item ID Source,
Fortitude Valley Girls and Infants,,Church England Non Vested School,Brisbane,1875,86,EDU/N5,2547,10782,,Dup of EDU/N6,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2547,
Fortitude Valley Infants,38,Non Vested School,Brisbane,1875,90,EDU/N5,2547,10782,"otherwise Roman Catholic Girls School, Wickham St Fortitude Valley ",Dup of EDU/N6,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2547,
Fortitude Valley St Patricks,,Roman Catholic Non Vested School,Brisbane,1872,30,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Fortitude Valley St Patricks,,Roman Catholic Non Vested School,Brisbane,1873,188,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Fortitude Valley St Patricks Girls and Infants,,Roman Catholic Non Vested School,Brisbane,1873,115,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Fortitude Valley St Stephens,,Roman Catholic Non Vested School,Brisbane,1872,31,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Freestone Creek,40,State School,,1872,10,EDU/N1,2543,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Freestone Creek,40,State School,,1872,71,EDU/N1,2543,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Freestone Creek,40,State School,,1872,78,EDU/N1,2543,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Freestone Creek,40,State School,,1873,197,EDU/N1,2543,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
